[2026-02-10 12:03:58] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260210_120358.log | fname=
[2026-02-10 12:03:58] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/pepsico_attachments | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Total vCPUs     : 60 | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Num workers     : 9 | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Threads/worker  : 6 | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Supported exts  : {'.webp', '.tiff', '.png', '.jpg', '.tif', '.pdf', '.jpeg', '.bmp'} | fname=INIT
[2026-02-10 12:03:58] [INFO    ] [MainProcess] Total entries found in input directory: 36 | fname=SCAN
[2026-02-10 12:03:58] [DEBUG   ] [MainProcess] All entries: ['34260911 Missing Item Qty. (PO).pdf', '35659400  Company Code Mismatch (PO).pdf', '36364887 Accounting Vendor Maintenance Required (PO).pdf', '36289708  Process Non Invoice Document.pdf', '37290355 Process PO Credit Memo (PO).pdf', '37151454 Process Non-PO Credit Memo (NPO).pdf', '37689388 Process Non-PO Invoice (NPO).pdf', '37451662 Missing Vendor Invoice Reference Number (NPO).pdf', '12124087 Mismatch PepsiCo Company Name (PO).pdf', '23996926 Manual Check of Indexing Lines (PO).pdf', '37794522 Invalid Vendor (PO).pdf', '30313542 Suspected Duplicate (PO).pdf', '37768719 Approval Required (NPO).pdf', '37691076 Please Index (PO).pdf', '37689884 Invalid Vendor (NPO).pdf', '37654394 Invalid PO Number (PO).pdf', '35294023 Please Index (NPO).pdf', '24551639 Process PO Invoice (PO).pdf', '37691214 Missing Vendor Invoice Reference (PO).pdf', '37692967 Invalid UOM (PO).pdf', '33365033 Unable to Determine Company Code (NPO).pdf', '34606454 Multiple Bank Accounts Exist (PO).pdf', '32527148 UOM Mismatch (PO).pdf', '34046864 Invalid Tax Info. (PO).pdf', '36289412 Missing Invoice Date (PO).pdf', '33815264 Invalid Currency (NPO).pdf', '34728178 Vendor Mismatch (PO).pdf', '34388480 Invalid Requestor ID (NPO).pdf', '36532827   Missing Mandatory Information (NPO).pdf', '36292740 Suspected Duplicate (NPO).pdf', '23867942 Invoice Older than Allowed (PO).pdf', '37371307 Invalid Currency (PO).pdf', '28536941 Invalid Recipient VAT Number (PO).pdf', '36761716 Invoice Older than Allowed (NPO).pdf', '36114864 Invalid Tax Info (NPO).pdf', '24280319 Currency Mismatch (PO).pdf'] | fname=SCAN
[2026-02-10 12:03:58] [DEBUG   ] [MainProcess] Queuing file: 12124087 Mismatch PepsiCo Company Name (PO).pdf (0.04 MB) | fname=12124087 Mismatch PepsiCo Company Name (PO).pdf
[2026-02-10 12:03:58] [DEBUG   ] [MainProcess] Queuing file: 23867942 Invoice Older than Allowed (PO).pdf (0.11 MB) | fname=23867942 Invoice Older than Allowed (PO).pdf
